GEO.id,GEO.id2,GEO.display-label,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!No schooling completed,Margin of Error!!Total:!!Male:!!No schooling completed,Estimate!!Total:!!Male:!!Nursery to 4th grade,Margin of Error!!Total:!!Male:!!Nursery to 4th grade,Estimate!!Total:!!Male:!!5th and 6th grade,Margin of Error!!Total:!!Male:!!5th and 6th grade,Estimate!!Total:!!Male:!!7th and 8th grade,Margin of Error!!Total:!!Male:!!7th and 8th grade,Estimate!!Total:!!Male:!!9th grade,Margin of Error!!Total:!!Male:!!9th grade,Estimate!!Total:!!Male:!!10th grade,Margin of Error!!Total:!!Male:!!10th grade,Estimate!!Total:!!Male:!!11th grade,Margin of Error!!Total:!!Male:!!11th grade,"Estimate!!Total:!!Male:!!12th grade, no diploma","Margin of Error!!Total:!!Male:!!12th grade, no diploma",Estimate!!Total:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency),"Estimate!!Total:!!Male:!!Some college, less than 1 year","Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Male:!!Associate's degree,Margin of Error!!Total:!!Male:!!Associate's degree,Estimate!!Total:!!Male:!!Bachelor's degree,Margin of Error!!Total:!!Male:!!Bachelor's degree,Estimate!!Total:!!Male:!!Master's degree,Margin of Error!!Total:!!Male:!!Master's degree,Estimate!!Total:!!Male:!!Professional school degree,Margin of Error!!Total:!!Male:!!Professional school degree,Estimate!!Total:!!Male:!!Doctorate degree,Margin of Error!!Total:!!Male:!!Doctorate degree,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!No schooling completed,Margin of Error!!Total:!!Female:!!No schooling completed,Estimate!!Total:!!Female:!!Nursery to 4th grade,Margin of Error!!Total:!!Female:!!Nursery to 4th grade,Estimate!!Total:!!Female:!!5th and 6th grade,Margin of Error!!Total:!!Female:!!5th and 6th grade,Estimate!!Total:!!Female:!!7th and 8th grade,Margin of Error!!Total:!!Female:!!7th and 8th grade,Estimate!!Total:!!Female:!!9th grade,Margin of Error!!Total:!!Female:!!9th grade,Estimate!!Total:!!Female:!!10th grade,Margin of Error!!Total:!!Female:!!10th grade,Estimate!!Total:!!Female:!!11th grade,Margin of Error!!Total:!!Female:!!11th grade,"Estimate!!Total:!!Female:!!12th grade, no diploma","Margin of Error!!Total:!!Female:!!12th grade, no diploma",Estimate!!Total:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency),"Estimate!!Total:!!Female:!!Some college, less than 1 year","Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Female:!!Associate's degree,Margin of Error!!Total:!!Female:!!Associate's degree,Estimate!!Total:!!Female:!!Bachelor's degree,Margin of Error!!Total:!!Female:!!Bachelor's degree,Estimate!!Total:!!Female:!!Master's degree,Margin of Error!!Total:!!Female:!!Master's degree,Estimate!!Total:!!Female:!!Professional school degree,Margin of Error!!Total:!!Female:!!Professional school degree,Estimate!!Total:!!Female:!!Doctorate degree,Margin of Error!!Total:!!Female:!!Doctorate degree
0600000US0900100000,900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0900104720,900104720,"Bethel town, Fairfield County, Connecticut",13490,548,6306,355,95,117,3,5,46,51,44,44,43,40,24,34,61,50,41,34,1576,308,426,164,740,182,279,86,2013,266,623,153,127,75,165,118,7184,371,59,60,5,11,32,41,29,43,13,16,31,54,87,78,92,61,1590,308,566,220,818,194,576,196,2160,385,898,208,178,101,50,34
0600000US0900108070,900108070,"Bridgeport town, Fairfield County, Connecticut",93854,1270,43301,1038,1456,344,1072,265,1541,356,1659,339,905,194,1208,320,1311,242,1574,308,14851,981,1939,355,5370,660,2479,388,4986,727,2137,400,503,195,310,133,50553,999,1740,421,1439,337,1339,269,2030,333,1502,381,1168,298,1586,309,864,197,15174,1035,2927,462,6841,694,3395,458,7005,706,2640,340,407,152,496,216
0600000US0900108980,900108980,"Brookfield town, Fairfield County, Connecticut",11816,386,5751,316,13,14,0,20,57,66,64,85,11,14,14,18,60,60,54,55,1039,200,262,103,511,152,577,215,1836,387,896,232,219,103,138,60,6065,242,0,20,0,20,0,20,49,69,15,24,59,55,33,37,42,40,1528,284,226,90,536,154,481,130,1846,289,946,213,214,107,90,62
0600000US0900118500,900118500,"Danbury town, Fairfield County, Connecticut",58479,1126,29107,993,1055,316,293,125,1254,404,305,140,477,264,451,172,614,251,790,221,7839,852,1827,376,3095,497,1857,379,5388,546,2512,374,901,546,449,153,29372,678,779,201,159,81,609,198,652,157,315,195,374,159,234,107,755,211,7875,652,1907,301,3154,455,2201,341,5826,603,3733,486,620,199,179,94
0600000US0900118850,900118850,"Darien town, Fairfield County, Connecticut",13280,492,6372,429,16,25,14,21,7,11,2,6,0,24,16,17,16,19,57,39,208,94,55,32,274,99,70,48,2855,320,2027,260,657,152,98,44,6908,217,14,20,11,17,19,30,49,51,0,24,18,19,0,24,35,42,356,108,133,75,256,94,212,94,3557,313,1769,311,348,102,131,100
0600000US0900123890,900123890,"Easton town, Fairfield County, Connecticut",5556,248,2746,211,18,25,0,18,0,18,7,11,0,18,19,26,0,18,28,26,276,113,122,67,207,90,194,107,1061,215,371,105,394,164,49,35,2810,154,0,18,0,18,8,12,20,30,15,23,0,18,16,28,10,13,299,101,34,26,153,88,209,87,902,160,876,226,172,78,96,58
0600000US0900126620,900126620,"Fairfield town, Fairfield County, Connecticut",39065,910,18730,644,87,56,9,14,5,7,170,106,72,45,60,60,49,32,254,111,2313,344,523,166,1308,233,766,221,6948,468,4333,544,1362,226,471,118,20335,652,217,126,21,20,73,43,118,93,87,57,102,59,59,49,218,88,2669,346,779,191,1702,384,1050,155,7130,579,4778,408,897,207,435,119
0600000US0900133620,900133620,"Greenwich town, Fairfield County, Connecticut",42495,781,19794,734,172,126,27,32,53,47,98,68,116,134,9,15,84,56,283,191,2487,385,366,115,997,213,721,180,6630,470,5410,439,1815,232,526,132,22701,441,154,62,9,14,112,55,146,53,0,30,115,59,94,69,143,75,2966,371,562,158,2008,420,1194,212,8071,491,5483,366,1137,224,507,185
